KOD_SUKL;DATOD;DATDO;POVOL_BALENI;UCEL;PRACOVISTE;DISTRIBUTOR;POZNAMKA;PREDKLADATEL;VYROBCE
0104952;28.07.2022;31.01.2024;225;Léèba tìhotnıch en, které jsou ohroeny hypertenzí (preeklampsie a eklampsie).;Poskytovatelé zdravotních slueb formou lùkové péèe v oboru gynekologie a porodnictví.;PHOENIX lékárenskı velkoobchod, s.r.o., K Pérovnì 945/7, 102 00 Praha 10 - Hostivaø;"Léèivı pøípravek TRANDATE je moné distribuovat do 31. 5. 2023. Léèivı pøípravek dodanı do lékáren je moné vydávat a pouívat pøi poskytování zdravotních slueb po dobu jeho doby pouitelnosti.
65 balení šare F6068 (doba pouitelnosti 12/2023)
160 balení šare F6069 (doba pouitelnosti 1/2024).";Aspen Pharma Trading Limited, Lake Drive 3016, Citywest Business Campus, Dublin 24, Irsko;CENEXI, 52, rue Marcel et Jacques Gaucher, 94120 Fontenay-Sous-Bois, Francie
0115527;10.03.2023;31.03.2025;27000;"Zajištìní léèivého pøípravku pro léèbu urátovıch kamenù a pro metafylaxi (prevenci
recidiv) kalciovıch, urátovıch a smíšenıch kamenù (kalcium/oxalát/urátovıch nebo
kalcium-oxalátovıch/kalcium-fosfátovıch). Léèivı pøípravek je urèen pro léèbu
dospìlıch a dìtí starších 12 let.";Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Viatris CZ s.r.o., Evropská 2590/33c, Dejvice, 160 00 Praha 6;Madaus GmbH, Lütticher Straße 5, 53842 Troisdorf, Nìmecko
0115528;24.05.2021;30.06.2026;45;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu tìkıch otrav kyanidy, kyanovodíkem, nitrily (slouèeninami s kyanoskupinou -C N) a spalinami uvolòujícími se z doutnajících poárù a hoøících plastù (pozn. není-li dostupné antidotum nezpùsobující methemoglobinémii).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;Dr. Franz Köhler Chemie GmbH, Werner-von Siemens-Str. 14-28, 64625, Bensheim, Nìmecko
0136446;21.07.2022;31.07.2024;6800;Léèba akutní leukemie a navození remise, udrovací léèba akutní lymfoblastické leukemie a akutní myeloidní leukemie. Léèivı pøípravek je urèen pro dìti, mladistvé a dospìlé pacienty.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe v oborech HEM a ONK;PHOENIX lékárenskı velkoobchod, s.r.o., K Pérovnì 945/7, 102 00 Praha 10 - Hostivaø;;"Aspen Pharma Trading Limited, 3016 Lake Drive, 24 Dublin, Irsko
";"Excella GmbH & Co. KG, Nürnberger Strasse 12, Feucht, 90537, Nìmecko
Aspen Bad Oldesloe GmbH, Industriestrasse 32-36, Bad Oldesloe, 23843, Nìmecko"
0154809;23.11.2021;30.11.2026;150;"Zajištìní pohotovostní zásoby léèivého pøípravku s léèivou látkou fysostigmin jako antidota pro léèbu otrav doprovázenıch tìkım centrálním anticholinergním syndromem, napø. alkoholem, tropanovımi alkaloidy (hyoscyamin, atropin, skopolamin; napø v rodech rostlin Durmanovec, Durman, Rulík), muchomùrkou tygrovanou a muchomùrkou èervenou; tricyklickımi antidepresivy (amitriptylin, imipramin, trimipramin, klomipramin, doxepin), antiemetiky/antihistaminiky (fenothiazin, thioridazin, chlorpromazin, promethazin, difenhydramin, dimenhydrinát), neuroleptiky (zejména butyrofenony), benzodiazepiny, spasmolytiky (tolterodin, oxybutynin), antiparkinsoniky (amantadin, difenhydramin), baklofenem, kyselinou gama-hydroxymáselnou, inhalaèními anestetiky, ketaminem, 3-chinuklidinyl benzylátem.";Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;Dr.Franz Köhler Chemie GmbH, Werner-von-Siemens-Str. 14-28, D-64625 Bensheim, Nìmecko
0185085;11.03.2022;28.02.2027;100;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu akutní intoxikace jedem zmije obecné a dalších zmijí (jde o hypoalergenní antisérum vhodné pro dìti a alergické osoby).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;MicroPharm Ltd, Station Road Industrial Estate, Newcastle Emlyn, SA38 9BY, Spojené království Velké Británie a Severního Irska
0185181;15.12.2021;31.12.2024;4200;Parenterální vıiva u nedonošenıch a donošenıch novorozencù, kojencù a dìtí, u kterıch je vyadována parenterální vıiva k pokrytí základních poadavkù na stopové prvky (doporuèená dávka je 1ml pøípravku PEDITRACE na kg tìlesné hmotnosti a den pro novorozence, kojence a dìti s maximální tìlesnou hmotností do 15 kg). Do tohoto léèebného programu mohou bıt zaøazeny dìti do 4 let vìku, resp. do hmotnosti 15 kg (pro dìti nad 4 roky vìku, resp. s tìlesnou hmotností vìtší ne 15 kg lze pouít registrované léèivé pøípravky).;"Poskytovatelé zdravotních slueb formou lùkové péèe v oboru neonatologie a pediatrie; pøípadnì v rámci zdravotní péèe poskytované ve vlastním sociálním prostøedí pacienta (domácí péèe).";spoleènost Fresenius Kabi s.r.o.;;Fresenius Kabi s.r.o., se sídlem Na stri 1702/65, Nusle, 140 00 Praha 4, IÈO: 251 35 228;Fresenius Kabi Norge AS, Halden, Norsko
0185261;22.12.2022;31.12.2024;11000;Léèba dospìlıch pacientù (muù a en) s neinvazivním karcinomem urotelu moèového mìchıøe.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe se specializací v oborech urologie, urogynekoonkologie, klinická onkologie.;"- PHOENIX, lékárenskı velkoobchod, s.r.o., K Pérovnì 945/7, Hostivaø, 102 00 Praha 10
- PHARMOS a.s., Tìšínská 1349/296, Radvanice, 716 00 Ostrava
- ViaPharma s.r.o., Na Florenci 2116/15, Nové Mìsto, 110 00 Praha 1
- Alliance Healthcare s.r.o., Podle Trati 624/7, 10 800 Praha 10-Malešice";;Medac Gesellschaft für klinische Spezialpräparate m.b.H., Theaterstr. 6, 22880 Wedel, Spolková republika Nìmecko;Medac Gesellschaft für klinische Spezialpräparate m.b.H., Theaterstr. 6, 22880 Wedel, Spolková republika Nìmecko
0185266;03.05.2022;30.04.2024;16800;V souladu se souhrnem údajù o pøípravku je léèivı pøípravek FLUDROCOTISON indikován k léèbì pacientù s primární adrenokortikální insuficiencí (Addisonova choroba) a sekundární adrenokortikální insuficiencí s minerálovım rozvratem èi hypotenzí, pacientù po operaci nadledvin, pacientù s adrenogenitálním syndromem s vysokımi ztrátami soli. Na základì rozhodnutí ošetøujícího lékaøe pacienta lze v souladu s doporuèeními odbornıch spoleèností léèivı pøípravek FLUDROCOTISON pouít pøi léèbì tìkıch forem ortostatické hypotenze.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe v oborech vnitøní lékaøství, dìtské lékaøství, praktické lékaøství pro dìti a dorost, endokrinologie (vèetnì dìtské), kardiologie.;PHOENIX lékárenskı velkoobchod, s.r.o., K Pérovnì 945/7, 102 00 Praha 10 - Hostivaø;;Viatris CZ s.r.o., se sídlem Evropská 2590/33c, 160 00 Praha 6 - Dejvice, IÈO: 034 81 778;Haupt Pharma Amareg GmbH, Donaustaufer Straße 378, 93055 Regensburg, Nìmecko
0185321;12.10.2022;31.10.2024;20;"Zajištìní dostupnosti léèivého pøípravku Campath pro dìtské pacienty k prevenci akutní/chronické reakce štìpu proti hostiteli po alogenní transplantaci kmenovıch bunìk krvetvorby od alternativních dárcù; k léèbì dìtí s hemofagocytující lymfohistiocytózou (FHL/HLH); k léèbì dìtí s rezistentní formou akutní/chronické reakce štìpu proti hostiteli po alogenní transplantaci kmenovıch bunìk krvetvorby; k léèbì po-transplantaèní imunní cytopenie.
Toto léèebné pouití alemtuzumabu je v souladu s doporuèeními European Society for Blood and Marrow Transplantation (EBMT) a European Society for Immunodeficiencies (ESID)-Guidelines for Haematopoietic Stem Cell Transplantation For Primary Immunodeficiencies z roku 2017, resp. EBMT/ESID Inborn Errors Woorking Party Guidelines for Hematopoietic Stem Cell Transplantation for Inborn Errors of Immunity z roku 2021, https://esid.org/Working-Parties/Clinical-Working-Party/Resources/UPDATED-and-Published%21-EBMT-ESID-GUIDELINES-FOR-HAEMATOPOIETIC-STEM-CELL-TRANSPLANTATION-FOR-PI";Klinika dìtské hematologie a onkologie 2. LF UK a FN Motol, Fakultní nemocnice v Motole, V Úvalu 84, 150 06 Praha 5 - Motol;sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6 - Vokovice;;Fakultní nemocnice v Motole, V Úvalu 84, 150 06 Praha 5 - Motol;Genzyme Limited, 37 Hollands Road, Haverhill, CB9 8PU, Velká Británie
0185321;04.11.2021;31.10.2024;45;"Zajištìní léèivého pøípravku s léèivou látkou alemtuzumab pro léèbu pacientù starších 18 let, kterı je
indikován po transplantaci orgánù jako léèba 2. linie v pøípadì:
- indukèní léèby u pacientù s vysokım imunologickım rizikem, u kterıch není moná léèba králièím antithymocytárním globulinem nebo se nepøedpokládá jeho dostateèná úèinnost,
- záchranné léèby u pacientù s biopticky ovìøenou refrakterní akutní celulární
rejekcí.
Léèba je nejèastìji indikována po transplantaci ledvin a ve vıjimeènıch pøípadech po transplantaci jinıch orgánù. Toto léèebné pouití alemtuzumabu je v souladu s Doporuèenım postupem Spoleènosti pro orgánové transplantace ÈLS JEP pro léèbu alemtuzumabem u nemocnıch po transplantaci orgánù.";Klinika nefrologie, Transplantcentrum IKEM;sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6 - Vokovice;;Institut klinické a experimentální medicíny, Vídeòská 1958/9, 140 21 Praha 4;Genzyme Limited, 37 Hollands Road, Haverhill, CB9 8PU, Velká Británie
0185321;01.09.2023;31.08.2025;260;"Zajištìní léèivého pøípravku s léèivou látkou alemtuzumab pro léèbu:
- dospìlıch pacientù s chronickou lymfocytární leukemií (CLL), kteøí jsou refrakterní na léèbu standardními pøípravky registrovanımi v Èeské republice,
- dospìlıch pacientù s T-prolymfocytární leukemií,
-dospìlıch pacientù s CLL indukovanou autoimunní hemolytickou anémií èi autoimunitní trombocytopenií, s dalšími lymfoproliferativními onemocnìními.
Ošetøující lékaøi by mìli postupovat v souladu s odbornou informací o pøípravku (Preskripèní informace) a souèasnì s doporuèením Èeské hematologické spoleènosti Èeské lékaøské spoleènosti J. E. Purkynì -Èervená kniha Léèebné postupy v hematologii v aktuální verzi zveøejnìné na https://www.hematology.cz/doporuceni-chs/ a Doporuèení pro diagnostiku a léèbu chronické lymfocytární leukémie (CLL) 2021,https://cll.cz/sites/default/files/2021-01/Doporu%C4%8Den%C3%AD_%C4%8CSCLL_2021_final_28012021_web.pdf.
";"-Interní hematologická a onkologická klinika, Fakultní nemocnice Brno, Jihlavská 340/20, 625 00 Brno,
- I. interní klinika - klinika hematologie, Všeobecná fakultní nemocnice v Praze, U nemocnice 499/2, 128 08 Praha 2,
- Ústav hematologie a krevní transfuze, U nemocnice 2094/1, 128 00 Praha 2,
- IV. interní hematologická klinika, Fakultní nemocnice Hradec Králové, Sokolská 581, 500 05 Hradec Králové,
- Interní hematologická klinika, Fakultní nemocnice Královské Vinohrady, Šrobárova 1150/50, 100 34 Praha 10,
- Hematologicko-onkologické oddìlení, Fakultní nemocnice Plzeò, Alej Svobody 923/80, 323 00 Plzeò,
- Hemato-onkologická klinika, Fakultní nemocnice Olomouc, I.P. Pavlova 185/6, 779 00 Olomouc,
- Klinika hematoonkologie, Fakultní nemocnice Ostrava, 17. listopadu 1790/5, 708 52 Ostrava-Poruba.";sanofi-aventis, s.r.o., Evropská 846/176a, 160 00, Praha 6;;sanofi-aventis, s.r.o., Evropská 846/176a, 160 00, Praha 6;"EUROAPI UK Limited, 37 Hollands Road, Haverhill, Suffolk, CB9 8PU, Spojené Království; Sanofi Ireland Limited, Unit 701IDA Industrial Park, Old Kilmeaden Road, Waterford, Irsko"
0185335;15.01.2021;31.12.2023;1200;Léèba dìdièné poruchy metabolismu biotinu.;Klinika pediatrie a dìdiènıch poruch metabolismu, Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2.;PHOENIX, lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, Klinika pediatrie a dìdiènıch poruch metabolismu, Metabolické centrum, Ke Karlovu 455/2, 120 00, Praha 2;mibe GmbH Arzneimittel, Münchener Straße 15, 06796 Brehna, Nìmecko
0185336;14.07.2023;30.06.2025;200;"Zajištìní léèby pacientù s maligní fenylketonurií na podkladì dìdièné poruchy metabolismu pterinù. Vzhledem k tomu, e v rámci specifického léèebného programu není léèivı pøípravek LEVOTONINE pouíván v souladu se souhrnem údajù o pøípravku, tj. je pouíván v jiné indikaci, ošetøující lékaøi by mìli pøi léèbì postupovat v souladu s mezinárodnì doporuèenımi postupy léèby uvedeného metabolického onemocnìní:
- N. Blau, et al. (Eds.), Physician's guide to the diagnosis, treatment, and follow-up of inherited metabolic diseases, Springer-Verlag Berlin Heidelberg (2014) Disorders of Phenylalanine and Tetrahydrobiopterin Metabolism,
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5639803/,
- https://www.fda.gov/drugs/drug-safety-and-availability/fda-issues-guidance-compounding-oral-oxitriptan-5-htp-patients-tetrahydrobiopterin-bh4-deficiency,
- https://ojrd.biomedcentral.com/articles/10.1186/s13023-020-01379-8.";Klinika pediatrie a dìdiènıch poruch metabolismu Všeobecné fakultní nemocnice v Praze, Ke Karlovu 455/2, 128 08 Praha 2;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U Nemocnice 2, 128 08 Praha 2;"PANPHARMA, Z.I. du Clairay 351 33, Luitré, Francie;
LAPHAL Industries, 248 Avenue de la Victoire, 131 06 Rousset, Francie
"
0185374;07.10.2021;30.11.2023;199;"Zajištìní léèivého pøípravku s obsahem léèivé látky cyclophosphamidum v perorální lékové formì. Léèivı pøípravek je urèen k pouití jako souèást kombinovanıch chemoterapeutickıch reimù èi v monoterapii v indikacích:
I. v souladu s platnım souhrnem údajù o pøípravku (SPC) léèivého pøípravku, kterı bude pouíván v rámci léèebného programu:
- adjuvantní terapie karcinomu prsu po resekci nádoru nebo mastektomii;
- paliativní léèba metastatického karcinomu prsu;
- leukémie - akutní nebo chronická lymfoblastická/lymfatická a myeloidní leukémie;
- maligní lymfomy - Hodgkinova choroba, non-Hodgkinskı lymfom, plazmocytom;
- metastazující a nemetastazující maligní solidní tumory - karcinom ovaria, testikulární karcinom, malobunìènı bronchiální karcinom, neuroblastom, Ewingùv sarkom, rhabdomyosarkom u dìtí, osteosarkom;
- autoimunitní onemocnìní - revmatoidní artritida, systémovı lupus erythematodes, (napø. s nefritickım syndromem), urèité typy glomerulonefritid (napø. s nefritickım syndromem), Wegenerova granulomatóza.
II. dle individuálních potøeb pacienta na základì rozhodnutí lékaøe v pøípadech, kdy pro léèbu lze pouít perorální lékovou formu s léèivou látkou cyclophosphamidum.
- progresivní autoimunitní onemocnìní - napø. psoriatická artropatie, sklerodermie, systémová vaskulitida (napø. s nefritickım syndromem), syndromem), myasthenia gravis, autoimunní hemolytická anémie, choroby charakterizované chladovou aglutinací;
- imunosupresivní farmakoterapie pøi transplantacích orgánù;
- pøíprava na allogenní transplantaci kostní døenì - závaná aplastická anémie, akutní myeloidní a akutní lymfoblastická leukémie, chronická myeloidní leukémie.";Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;BAXTER CZECH spol. s r.o.;;BAXTER CZECH spol. s r.o.;Baxter Oncology GmbH, Nìmecko
0185376;29.03.2023;31.03.2025;11000;"Zabezpeèení léèivého pøípravku s léèivou látkou liothyronin v následujících terapeutickıch indikacích:
- léèba pøi nemonosti normalizace funkce štítné lázy u pacientù dlouhodobì léèenıch levothyroxinem;
- doplòková léèba k dosaení suprese TSH u nìkterıch karcinomù TSH dependentních, nìkterıch typù prosté strumy a nìkterıch uzlù štítné lázy;
- léèba myxedémového kómatu (v kombinaci s T4);
- provedení T3 supresního testu pøi podezøení na syndrom rezistence tyreoidálními hormony a v jeho diferenciální diagnostice;
- provedení T3 supresního testu pøi scintigrafii štítné lázy (v diferenciální diagnostice toxického adenomu);
- krátkodobá substituèní léèba pøed podáním radioaktivního jódu (131I) u pacientù dlouhodobì léèenıch levothyroxinem.
Léèivı pøípravek je urèen pro léèbu dospìlıch a dìtí starších 6 let. Pouití léèivého pøípravku je kontraindikováno u tìhotnıch pacientek nebo pacientek plánujících graviditu.";Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (pracovištì endokrinologie, vnitøního lékaøství, dìtského lékaøství, praktického lékaøství pro dìti a dorost).;sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6;;Èeskou endokrinologickou spoleèností Èeské lékaøské spoleènosti Jana Evangelisty Purkynì;Patheon France, 40, Boulevard De Champaret, 38300 Bourgoin-Jallieu, Francie
0185384;24.05.2021;31.05.2026;;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu koní, mukokutánní a viscerální leishmaniózy.;"Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).
";PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;750 ampulek (platí pro oba pøípravky celkem);Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;"Haupt Pharma Livron S.A.S., 1 Rue Comte de Sinard 26250 Livron, Francie 
 Famar Health Care Services Madrid S.A.U., Avenida Leganés 62, 28923 Alcorcón, Madrid, Španìlsko."
